STNAME,n_years,bad_year_count,bad_year_share,avg_roa,avg_droa,avg_severity,cumulative_negative_droa,worst_droa,avg_severity_bad_year,worst_year,worst_droa_year_value
Nevada,7,5,0.7142857142857143,0.037595422374166645,-0.005003239815718951,0.00803522152126051,0.056246550648823564,-0.02867635193207622,0.011249310129764715,2015,-0.02867635193207622
Virginia,7,5,0.7142857142857143,0.007707735848049585,-0.0007996527525558643,0.0019517090853612118,0.013661963597528482,-0.00638855217665104,0.0027323927195056965,2020,-0.00638855217665104
Delaware,7,3,0.42857142857142855,0.00962875167530119,-0.001716142727870362,0.002505511738981617,0.01753858217287132,-0.007957481723697193,0.004877883918640923,2020,-0.007957481723697193
South Dakota,7,3,0.42857142857142855,0.009609763286234318,-0.0012373343157497942,0.0021791962037997965,0.015254373426598574,-0.008096861909747816,0.004510759989389123,2020,-0.008096861909747816
Alabama,7,3,0.42857142857142855,0.007725288999998125,-0.0014253273041697015,0.002004588428892889,0.014032119002250223,-0.009967842076928425,0.004521425279898534,2020,-0.009967842076928425
Louisiana,7,3,0.42857142857142855,0.008265213410492887,-7.975565686226007e-05,0.0018207891747797009,0.012745524223457906,-0.00836393445468214,0.004248508074485968,2016,-0.00836393445468214
District Of Columbia,7,3,0.42857142857142855,0.004832623256902745,-0.00046309666974991305,0.0017483245204385277,0.012238271643069693,-0.005186840379830061,0.004079423881023231,2017,-0.005186840379830061
California,7,3,0.42857142857142855,0.00825445448651841,-0.0007746333708740751,0.001428773179341073,0.010001412255387511,-0.004275331152305942,0.0028560646531343124,2020,-0.004275331152305942
Hawaii,7,3,0.42857142857142855,0.010751201187202573,-0.0008714951807068412,0.0014104931042915236,0.009873451730040665,-0.005413890104927413,0.0032439875124078976,2020,-0.005413890104927413
New York,7,3,0.42857142857142855,0.008566963166823777,-0.00011936297108980589,0.0010409990198368853,0.007286993138858198,-0.003944068653325893,0.0022561946906561187,2020,-0.003944068653325893
New Hampshire,7,3,0.42857142857142855,0.008600157623669375,1.8947014708739496e-05,0.0010400168908344257,0.00728011823584098,-0.004422747749460545,0.00242670607861366,2020,-0.004422747749460545
Tennessee,7,3,0.42857142857142855,0.010343107458744377,0.0004436934462392722,0.0009154336696868112,0.006408035687807678,-0.0024157213966696425,0.0018072218909238574,2017,-0.0024157213966696425
Massachusetts,7,3,0.42857142857142855,0.008673780832502972,-0.0002615928128827871,0.00086684636514272,0.00606792455599904,-0.00317876218751249,0.002006109052734822,2020,-0.00317876218751249
Idaho,7,3,0.42857142857142855,0.010469717702411813,0.0003922196748670013,0.0007555366687623984,0.005288756681336789,-0.003117916141035147,0.001714072027369569,2020,-0.003117916141035147
Oregon,7,2,0.2857142857142857,0.003196851832520787,-0.007241597817985795,0.008127181754779033,0.05689027228345324,-0.05307203454505281,0.028294464104589728,2020,-0.05307203454505281
North Carolina,7,2,0.2857142857142857,0.011606809937028858,-0.0006064448687977789,0.0013692294558682746,0.009584606191077922,-0.006210674752041782,0.004663867454044053,2020,-0.006210674752041782
Utah,7,2,0.2857142857142857,0.018000249759978226,2.6764790963650286e-05,0.001164442369949852,0.008151096589648963,-0.0060778802965194625,0.003744734331902735,2020,-0.0060778802965194625
Connecticut,7,2,0.2857142857142857,0.008592692620434423,-0.0003731911233582947,0.0011166844880550876,0.007816791416385614,-0.00664939438884478,0.003908395708192807,2020,-0.00664939438884478
Ohio,7,2,0.2857142857142857,0.010283717085469475,-0.0002999856045625263,0.0010533857447450657,0.0073737002132154604,-0.006252391097648773,0.0036645911585066414,2020,-0.006252391097648773
Mississippi,7,2,0.2857142857142857,0.00931871262792501,-0.0003092018390807736,0.000858990463862335,0.006012933247036344,-0.005048311009214337,0.002968781508656454,2020,-0.005048311009214337
Texas,7,2,0.2857142857142857,0.011933965284797168,-0.00015583553043475837,0.0008116719724655212,0.005681703807258649,-0.0041766506577064055,0.002442766449496074,2020,-0.0041766506577064055
South Carolina,7,2,0.2857142857142857,0.008821409708236319,0.0007236343830545075,0.0008019353590986033,0.005613547513690223,-0.0024929885409283765,0.0023680776110203074,2020,-0.0024929885409283765
New Mexico,7,2,0.2857142857142857,0.012455142145806588,0.0006210938543793992,0.0006875922637530517,0.0048131458462713625,-0.002926888457004395,0.0024065729231356812,2020,-0.002926888457004395
Arkansas,7,2,0.2857142857142857,0.01279003999783941,-4.983591310455333e-05,0.0006276745677121272,0.004393721973984891,-0.0032990808687995855,0.00200914192946352,2020,-0.0032990808687995855
Oklahoma,7,2,0.2857142857142857,0.011887505529368124,1.1264743782115924e-05,0.0005179613170765786,0.00362572921953605,-0.0020689910658685338,0.0014932073245108937,2019,-0.0020689910658685338
Kansas,7,2,0.2857142857142857,0.010803641081906441,-5.0647472922267216e-05,0.00040512767070006685,0.002835893694900468,-0.0011201876844897495,0.0011009578906959888,2020,-0.0011201876844897495
New Jersey,7,2,0.2857142857142857,0.008190310698308721,0.00033604140066957535,0.00038758228364983233,0.0027130759855488263,-0.0010547781798365364,0.0010314591924381043,2014,-0.0010547781798365364
Missouri,7,2,0.2857142857142857,0.010951988249355112,0.00015281866987290664,0.000384600802511276,0.002692205617578932,-0.0014751725759289559,0.0012316999467301805,2020,-0.0014751725759289559
Wyoming,7,2,0.2857142857142857,0.011626099412351747,7.401277701152188e-05,0.00027971371759692325,0.0019579960231784627,-0.0012071564081204203,0.0009789980115892313,2020,-0.0012071564081204203
Minnesota,7,2,0.2857142857142857,0.012174743071278771,0.00010046166159854515,0.00027816512453403573,0.00194715587173825,-0.0013518364951367306,0.000973577935869125,2020,-0.0013518364951367306
Rhode Island,7,1,0.14285714285714285,0.008820427467755434,0.005080951587345052,0.0009050969979493308,0.006335678985645315,-0.005000261594486867,0.005000261594486867,2020,-0.005000261594486867
Georgia,7,1,0.14285714285714285,0.010550892495064983,-1.1453165389260381e-05,0.0008690586189323764,0.006083410332526635,-0.0052247086708878026,0.0052247086708878026,2020,-0.0052247086708878026
Florida,7,1,0.14285714285714285,0.008948750236251605,-0.00016329643184158037,0.0007910315283123191,0.0055372206981862335,-0.0055372206981862335,0.0055372206981862335,2020,-0.0055372206981862335
Washington,7,1,0.14285714285714285,0.010157434322524781,-6.13689088613328e-05,0.0006577597463027107,0.004604318224118975,-0.003445264494461791,0.003445264494461791,2020,-0.003445264494461791
Arizona,7,1,0.14285714285714285,0.014793124336743622,0.0004405419212331618,0.0005984911549817047,0.004189438084871933,-0.003963556744035843,0.003963556744035843,2020,-0.003963556744035843
Pennsylvania,7,1,0.14285714285714285,0.00901870080502785,-0.0001196706663447349,0.0005669746334180441,0.003968822433926308,-0.0024384123421462393,0.0024384123421462393,2020,-0.0024384123421462393
Illinois,7,1,0.14285714285714285,0.008680161466168299,4.027370086415753e-05,0.0005218864837139159,0.0036532053859974108,-0.002972448499943119,0.002972448499943119,2020,-0.002972448499943119
Maryland,7,1,0.14285714285714285,0.009616879930123237,0.0003935820816996574,0.0005042600176736234,0.003529820123715364,-0.0031197027446418363,0.0031197027446418363,2020,-0.0031197027446418363
Nebraska,7,1,0.14285714285714285,0.012278804651896241,9.093690834633544e-05,0.0004819713745175446,0.0033737996216228125,-0.002304534446100199,0.002304534446100199,2017,-0.002304534446100199
Colorado,7,1,0.14285714285714285,0.01159497930899219,0.00014040384189126852,0.0003997506088805869,0.002798254262164108,-0.0023683763499721903,0.0023683763499721903,2020,-0.0023683763499721903
West Virginia,7,1,0.14285714285714285,0.010160038317251678,5.897673100416347e-05,0.00039597716801961606,0.0027718401761373124,-0.0017086530999515012,0.0017086530999515012,2020,-0.0017086530999515012
Iowa,7,1,0.14285714285714285,0.011683814704791984,-6.272859833854066e-05,0.0003911350163854588,0.0027379451146982113,-0.002145669430300798,0.002145669430300798,2020,-0.002145669430300798
Michigan,7,1,0.14285714285714285,0.011179890088655884,0.0002934138523304223,0.0003806233800214008,0.002664363660149806,-0.0021375873153062844,0.0021375873153062844,2014,-0.0021375873153062844
Montana,7,1,0.14285714285714285,0.013814822987553628,9.18281636157741e-05,0.00035635605279297323,0.0024944923695508128,-0.0018797637976419538,0.0018797637976419538,2020,-0.0018797637976419538
North Dakota,7,1,0.14285714285714285,0.013254842479908182,-1.717524480206426e-05,0.0002657759818164236,0.0018604318727149655,-0.001744129150359956,0.001744129150359956,2016,-0.001744129150359956
Wisconsin,7,1,0.14285714285714285,0.010252677139010537,0.0001519468567460231,0.00026235738509880084,0.0018365016956916058,-0.0012900551441711264,0.0012900551441711264,2014,-0.0012900551441711264
Indiana,7,1,0.14285714285714285,0.011158479745165999,0.00023186522051710682,0.00023221372128307712,0.0016254960489815399,-0.0006237389162060576,0.0006237389162060576,2020,-0.0006237389162060576
Vermont,7,1,0.14285714285714285,0.009568767899604405,0.0003622047427547021,0.0001710141891828391,0.0011970993242798739,-0.0009778216488876869,0.0009778216488876869,2020,-0.0009778216488876869
Kentucky,7,1,0.14285714285714285,0.010697495998319678,0.00038519478360831604,9.334371087368674e-05,0.0006534059761158072,-0.0006534059761158072,0.0006534059761158072,2020,-0.0006534059761158072
Maine,7,0,0.0,0.010484928185969192,0.0005153002979312092,0.0003721912811866126,0.002605338968306288,-0.000996132954209179,,2017,-0.000996132954209179
Alaska,7,0,0.0,0.011578396646601078,0.0003931236843686589,0.00028163961780610134,0.0019714773246427095,-0.0012070344900864637,,2017,-0.0012070344900864637
